Monthly data for requested period 1800 to 2014 - annual values have been calculated using the functions:average [mean daily maximum temperature in degrees C, mean daily minimum temperature in degrees C]highest [highest monthly temperature in degrees C]lowest [lowest monthly temperature in degrees C]#
dx,Station Number,Element description,Year(s),January,February,March,April,May,June,July,August,September,October,November,December,Annual,Quality control field,#
dx, 95001,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1975     ,      6.8,      5.6,      3.7,      3.2,      2.5,      0.9,      2.5,      1.7,      3.4,      6.7,      7.5,      7.4,      4.3,QC,#
dx, 95001,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1976     ,      8.3,      8.7,      6.8,      4.6,      2.3,      0.9,     -1.4,      0.3,      1.9,      3.8,      6.7,      6.7,      4.1,QC,#
dx, 95001,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1977     ,      8.0,      6.7,      7.3,      3.3,      1.9,     -0.4,     -1.5,      1.2,      0.5,      4.1,      4.2,      6.3,      3.5,QC,#
dx, 95001,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1978     ,      6.5,      7.5,      6.6,      5.1,      4.1,      1.1,     -0.6,      0.5,      1.9,      4.4,      5.8,      6.3,      4.1,QC,#
dx, 95001,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1979     ,      7.5,      9.6,      7.1,         ,         ,         ,         ,         ,         ,      4.5,      5.7,      6.8,         ,QC,#
dx, 95001,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1980     ,      8.2,      7.1,      8.1,         ,         ,         ,         ,         ,         ,      4.0,      5.1,      6.3,         ,QC,#
dx, 95001,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1981     ,      9.4,      9.5,      7.0,         ,         ,         ,         ,         ,         ,         ,      5.7,      7.1,         ,QC,#
dx, 95001,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1982     ,      8.9,      7.5,      6.6,         ,         ,         ,         ,         ,         ,      4.5,      6.1,      6.9,         ,QC,#
dx, 95001,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1983     ,      6.5,      7.5,      6.6,         ,         ,         ,         ,         ,         ,         ,      5.5,      7.2,         ,QC,#
dx, 95001,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1984     ,      7.2,      7.7,      5.6,         ,         ,         ,         ,         ,         ,         ,      5.8,      6.5,         ,QC,#
dx, 95001,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1985     ,      7.4,      6.0,      7.7,         ,         ,         ,         ,         ,         ,         ,      5.6,      9.0,         ,QC,#
dx, 95001,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1986     ,      7.4,      5.6,      6.4,      5.4,         ,         ,         ,         ,         ,         ,         ,         ,         ,QC,#
dx, 95001,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1987     ,      7.1,      5.6,      5.2,      3.8,         ,         ,         ,         ,         ,      4.4,      7.0,      7.0,         ,QC,#
dx, 95001,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1989     ,      7.5,      7.7,      7.2,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,QC,#
#
Monthly summary for requested period 1800 to 2014 - annual values have been calculated using the functions:average [mean daily maximum temperature in degrees C, mean daily minimum temperature in degrees C]highest [highest monthly temperature in degrees C]lowest [lowest monthly temperature in degrees C]#
dx,Station Number,Element description,Statistic description,January,February,March,April,May,June,July,August,September,October,November,December,Annual,#
dx, 95001,Highest monthly temperature in degrees C calculated using available data between 1965 and 1989                                                                                                          ,Average                            ,     32.0,     32.5,     30.0,     24.8,     19.6,     16.1,     15.0,     17.1,     20.0,     25.0,     27.8,     30.1,     34.6,#
dx, 95001,Highest monthly temperature in degrees C calculated using available data between 1965 and 1989                                                                                                          ,Highest                            ,     37.5,     36.0,     36.1,     28.6,     23.1,     17.9,     17.5,     21.5,     25.0,     32.3,     33.0,     34.0,     37.5,#
dx, 95001,Highest monthly temperature in degrees C calculated using available data between 1965 and 1989                                                                                                          ,Lowest                             ,     26.4,     27.2,     25.0,     19.5,     16.8,     14.0,     13.5,     15.0,     15.6,     19.0,     23.4,     25.6,     29.6,#
dx, 95001,Lowest monthly temperature in degrees C calculated using available data between 1965 and 1989                                                                                                           ,Average                            ,      0.8,      0.1,     -1.3,     -3.4,     -5.6,     -7.6,     -7.0,     -5.8,     -4.3,     -3.3,     -1.2,     -0.1,     -8.3,#
dx, 95001,Lowest monthly temperature in degrees C calculated using available data between 1965 and 1989                                                                                                           ,Highest                            ,      5.0,      4.0,      1.6,      0.1,     -1.0,     -4.9,     -4.3,     -4.4,     -2.1,      0.1,      1.5,      2.5,     -7.0,#
dx, 95001,Lowest monthly temperature in degrees C calculated using available data between 1965 and 1989                                                                                                           ,Lowest                             ,     -2.9,     -3.6,     -4.0,     -7.0,     -8.9,    -12.5,     -9.4,     -6.9,     -7.0,     -7.7,     -5.0,     -3.1,    -11.1,#
dx, 95001,Mean daily maximum temperature in degrees C calculated using available data between 1965 and 1989                                                                                                       ,Average                            ,     22.5,     23.2,     20.5,     17.2,     13.5,     10.9,     10.6,     11.7,     13.6,     16.8,     18.4,     20.4,     16.5,#
dx, 95001,Mean daily maximum temperature in degrees C calculated using available data between 1965 and 1989                                                                                                       ,Highest                            ,     25.4,     26.0,     23.1,     19.0,     14.9,     12.9,     12.2,     13.4,     15.7,     18.9,     21.3,     22.6,     17.4,#
dx, 95001,Mean daily maximum temperature in degrees C calculated using available data between 1965 and 1989                                                                                                       ,Lowest                             ,     19.5,     20.1,     18.3,     14.6,     12.3,      9.4,      9.7,     10.3,     11.1,     13.8,     15.9,     18.0,     15.8,#
dx, 95001,Mean daily minimum temperature in degrees C calculated using available data between 1965 and 1989                                                                                                       ,Average                            ,      7.6,      7.5,      6.5,      4.3,      2.2,      0.1,     -0.2,      0.6,      2.2,      3.6,      5.6,      6.7,      3.8,#
dx, 95001,Mean daily minimum temperature in degrees C calculated using available data between 1965 and 1989                                                                                                       ,Highest                            ,     10.4,      9.6,      8.1,      5.7,      4.9,      1.5,      2.5,      1.7,      4.5,      6.7,      7.5,      9.0,      4.4,#
dx, 95001,Mean daily minimum temperature in degrees C calculated using available data between 1965 and 1989                                                                                                       ,Lowest                             ,      6.0,      5.1,      3.7,      2.5,      1.0,     -1.8,     -2.3,     -0.8,      0.5,      1.5,      3.9,      5.3,      2.6,#
